,Crypto,Date,Open,High,Low,Close,Adj Close,Volume
227,Bitcoin,2018-06-29,5898.129883,6261.660156,5835.75,6218.299805,6218.299805,3966230016.0
228,Bitcoin,2018-06-30,6214.220215,6465.509766,6214.220215,6404.0,6404.0,4543860224.0
229,Bitcoin,2018-07-01,6411.680176,6432.850098,6289.290039,6385.819824,6385.819824,4788259840.0
230,Bitcoin,2018-07-02,6380.379883,6683.859863,6305.700195,6614.180176,6614.180176,4396930048.0
231,Bitcoin,2018-07-03,6596.660156,6671.370117,6447.75,6529.589844,6529.589844,4672309760.0
232,Bitcoin,2018-07-04,6550.870117,6771.919922,6450.459961,6597.549805,6597.549805,4176689920.0
233,Bitcoin,2018-07-05,6599.709961,6749.540039,6546.649902,6639.140137,6639.140137,4999240192.0
234,Bitcoin,2018-07-06,6638.689941,6700.939941,6533.549805,6673.5,6673.5,4313959936.0
235,Bitcoin,2018-07-07,6668.709961,6863.990234,6579.240234,6856.930176,6856.930176,3961080064.0
236,Bitcoin,2018-07-08,6857.799805,6885.910156,6747.97998,6773.879883,6773.879883,3386210048.0
237,Bitcoin,2018-07-09,6775.080078,6838.680176,6724.339844,6741.75,6741.75,3718129920.0
238,Bitcoin,2018-07-10,6739.209961,6767.740234,6320.720215,6329.950195,6329.950195,4052430080.0
239,Bitcoin,2018-07-11,6330.77002,6444.959961,6330.470215,6394.709961,6394.709961,3644859904.0
240,Bitcoin,2018-07-12,6396.779785,6397.100098,6136.419922,6228.810059,6228.810059,3770170112.0
241,Bitcoin,2018-07-13,6235.029785,6310.549805,6192.240234,6238.049805,6238.049805,3805400064.0
242,Bitcoin,2018-07-14,6247.5,6298.189941,6212.220215,6276.120117,6276.120117,2923670016.0
243,Bitcoin,2018-07-15,6272.700195,6403.459961,6256.509766,6359.640137,6359.640137,3285459968.0
244,Bitcoin,2018-07-16,6357.009766,6741.75,6357.009766,6741.75,6741.75,4725799936.0
245,Bitcoin,2018-07-17,6739.649902,7387.240234,6684.169922,7321.040039,7321.040039,5961950208.0
246,Bitcoin,2018-07-18,7315.319824,7534.990234,7280.470215,7370.779785,7370.779785,6103410176.0
247,Bitcoin,2018-07-19,7378.200195,7494.459961,7295.459961,7466.859863,7466.859863,5111629824.0
248,Bitcoin,2018-07-20,7467.399902,7594.669922,7323.259766,7354.129883,7354.129883,4936869888.0
249,Bitcoin,2018-07-21,7352.720215,7437.640137,7262.410156,7419.290039,7419.290039,3726609920.0
250,Bitcoin,2018-07-22,7417.799805,7537.950195,7383.819824,7418.490234,7418.490234,3695460096.0
251,Bitcoin,2018-07-23,7414.709961,7771.5,7409.100098,7711.109863,7711.109863,5132480000.0
252,Bitcoin,2018-07-24,7716.509766,8424.269531,7705.5,8424.269531,8424.269531,7277689856.0
253,Bitcoin,2018-07-25,8379.660156,8416.870117,8086.359863,8181.390137,8181.390137,5845400064.0
254,Bitcoin,2018-07-26,8176.850098,8290.330078,7878.709961,7951.580078,7951.580078,4899089920.0
255,Bitcoin,2018-07-27,7950.399902,8262.660156,7839.759766,8165.009766,8165.009766,5195879936.0
256,Bitcoin,2018-07-28,8169.060059,8222.849609,8110.77002,8192.150391,8192.150391,3988750080.0
257,Bitcoin,2018-07-29,8205.820313,8272.259766,8141.180176,8218.459961,8218.459961,4107190016.0
258,Bitcoin,2018-07-30,8221.580078,8235.5,7917.5,8180.47998,8180.47998,5551400000.0
259,Bitcoin,2018-07-31,8181.200195,8181.529785,7696.930176,7780.439941,7780.439941,5287530000.0
260,Bitcoin,2018-08-01,7769.040039,7769.040039,7504.950195,7624.910156,7624.910156,4797620000.0
261,Bitcoin,2018-08-02,7634.189941,7712.77002,7523.439941,7567.149902,7567.149902,4214110000.0
262,Bitcoin,2018-08-03,7562.140137,7562.140137,7328.649902,7434.390137,7434.390137,4627150000.0
